abandonado
abejas
aborto
abrasador
abrumado
absurdo
aburrido
accidente
ácido
adicto
afectar
afligido
agobiado
agonía
agresión
agresivo
aguja
ahogarse
alcohólico
alerta
ambulancia
amenaza
ampolla
angustiado
ansioso
aplastado
apuros
araña
arma
arrogante
asediado
asesinar
asesino
asfixiarse
áspero
asqueado
asqueroso
asustado
ataúd
aterrorizado
atracador
atrocidad
avalancha
avaricia
avergonzado
avispa
bala
bancarrota
bastardo
basto
bastón
basura
bestia
blasfemia
bofetada
bomba
boxeador
brutal
bulto
burla
cadáver
caída
callejón
cáncer
cansado
cañón
caos
cárcel
carroña
castigo
celos
cementerio
cerdo
chantaje
chillido
choque
cicatriz
ciclón
ciego
cieno
cirugía
cobarde
cólera
confuso
contaminar
corrupto
corte
crimen
criminal
crisis
crucificar
cruel
cucaracha
cuchillo
culpa
culpable
daga
daño
débil
decepcionar
deforme
demente
demonio
dentista
depresión
deprimido
desagrado
desanimado
desastre
descomposición
desdén
desdeñoso
desertor
desesperado
desleal
desordenado
despedazar
desperdicio
despreciar
destrucción
destruir
desventaja
detestar
deuda
diablo
dificultar
disgustado
distante
disturbio
divorcio
dolencia
dolor
egoísta
ejecución
ejército
enfadado
enfado
enfermedad
enfermo
enfurecido
engaño
engreído
entierro
entrometido
error
escándalo
esclavo
esconder
escopeta
escorbuto
escoria
escorpión
espantoso
espina
estancado
estiércol
estremecerse
estrés
estúpido
excusa
falso 
famélico
fastidiar
fatigado
feo
fétido
fiebre
flemón
fofo
follón
fracaso
fraude
frío
frustrado
funeral
furcia
fusil
gangrena
gélido
gérmenes
golpe
gordo
granada
grave
grito
grosero
guerra
guillotina
gusano
hambriento
harto
hastío
hedor
heridas
herido
heroína
homicida
hongo
horror
hospital
hostil
humillar
huracán
idiota
iglesia
ignorancia
impotente
incomodidad
incordio
indefenso
indiferente
infección
infeliz
inferior
infiel
infierno
inmaduro
inmoral
insecto
inseguro
insolente
insulto
intruso
inundación
inútil
invasor
irritar
jaqueca
ladrón
lánguido
lástima
lento
lepra
lesión
lloriqueo
lóbrego
loco
lucha
malaria
maleducado
malicia
maltrato
malvado
maníaco
manosear
mareado
masacre
matanza
mendigo
menosprecio
mentira
miedoso
miseria
moho
molestar
molestia
monja
morgue
mosquito
mucosidad
muerte
muerto
mugre
muleta
multa
mutación
mutilar
narcótico
negligencia
nervioso
neurótico
nublado
nudo
obedecer
obesidad
obsceno
obsesión
odiar
odio
ofender
orina
oscuro
oxidado
pánico
pantano
parálisis
pecado
pecaminoso
peligro
pellizco
pena
penoso
perdedor
perdido
perezoso
perverso
pervertido
pesadilla
pesar
pesaroso
pesimismo
peste
pinchazo
piojo
piojos
pistola
pitón
pleito
pobreza
podrido
ponzoña
porquería
precipicio
presión
prisión
problema
puntapié
pus
puta
putrefacto
queja
quemadura
queroseno
rabia
rancio
rapto
rata
rechazado
rehén
relámpago
reptil
repugnante
resentirse
retrasado
revólver
revuelta
rifle
rígido
riña
roña
roto
ruidoso
sangriento
sarampión
serio
serpiente
sífilis
snob
sobrecogido
soga
soledad
solitario
solo
soso
sospechoso
suburbio
suciedad
sucio
suicidio
tabaco
tanque
temeroso
temor
tenso
termita
terrible
terrorista
tiburón
tieso
tonto
tornado
torpe
tortura
tóxico
tragedia
traicionar
traidor
trauma
triste
tumba
tumor
turbio
úlcera
vacilar
vampiro
vándalo
vanidad
vencido
veneno
vergonzoso
vertedero
víctima
victimismo
violación
violento
viruela
volcán
vómito
zurra
