word	polarity	subjectivity
#300	0	-0.09
#30premsa	0	-0.09
#30secondstomars	0	-0.09
#31	0	-0.17
#3137	0	-0.09
#32	0	-0.34
#320	0	-0.09
#339	0	-2.24
#34	0	-0.52
#345	0	-0.09
#35	0	-0.17
#36	0	-0.09
#362	0	-0.17
#362883	0	-2.84
#365	0	-1.12
#388	0	-0.17
#39	0.21	0.16
#3wordsaftersex	0.08	0.06
#4	0	-2.24
#40	0	-0.52
#41	0	-0.17
#413	0	-0.34
#4153	0	-2.5
#417	0	-0.09
#432	0	-0.09
#44	0	-0.09
#45	0	-0.09
#454	0	-0.34
#455	0	-2.5
#4zero9ten	-0.08	0.06
#5	0	-2.41
#506	0	-0.09
#507	0	-0.17
#50waystokillyourlover	0	-0.09
#52	0	-0.17
#531	0	-0.09
#55	0	-0.17
#56	0	-1.38
#56412950757	0	-0.09
#580	0	-0.43
#5am	-0.08	0.06
#6	0	-0.6
#61	0	-0.43
#617	0	-0.09
#638	0	-0.09
#64	0	-0.09
#661	0	-0.26
#676	0	-0.69
#678	0	-0.52
#68	0.08	0.06
#6taregi	0	-0.09
#6taregion	0	-0.09
#7	0	-0.78
#70	0.08	0.06
#7001	0	-0.09
#708	0	-0.09
#72	0	-0.43
#726	0	-0.34
#72hr	0.08	0.04
#77	0	-0.26
#78961556	0	-0.09
#7dias	0	-0.09
#8	0	-0.26
#80	0	-0.09
#81	0	-0.26
#810	0	-0.09
#8220	0	-0.26
#8221	0	-0.26
#883	0	-0.78
#890	0	-0.26
#9	0.32	-0.51
#90	0	-0.78
#9000	0	-0.09
#901	0	-0.09
#902	0	-0.09
#904	0	-0.09
#90grunge	0	-0.09
#92	0	-0.09
#96	0	-0.09
#97	0	-0.09
#973	0	-2.59
#980	0.24	0.18
#9829	0.24	0.08
#9834	0	-0.17
#9835	0	-0.09
#9mts	0	-0.09
#@	-0.08	0.04
#\)$	0	-0.09
#]	0	-2.07
#a	0.08	-0.04
#a_mty	0	-0.17
#ab	0	-0.6
#abc	0	-0.78
#abcabctodacriancatemquelerescrever	0	-0.09
#abecedario	0	-0.09
#abier	0	-0.09
#abierto	0	-1.03
#abm	0.08	0.06
#abn	0.08	-3.06
#abrazo	-0.08	0.06
#abrazotuitero	0	-0.09
#abre	0	-0.09
#abrilprorock	0	-0.09
#absentatwiter	0	-0.09
#abstinenciademundial	0	-0.09
#abstract	0	-0.09
#aburra	0	-0.09
#aburrido	0	-0.09
#aburridos	0	-0.09
#acaba	0	-0.26
#acabada	0	-0.09
#acabalogofantastic	0	-0.09
#acabron	0	-0.09
#acantilado	0	-0.09
#acapulco	-0.08	0.01
#acaradosono	0	-0.09
#acasadosmachos	0	-0.09
#achoconceitual	0	-0.09
#achojusto	0	-0.09
#achoqnao	0	-0.09
#acidente	0	-0.09
#acidjazz	0	-0.09
#acordabrasil	0	-0.17
#acordarcedo	0	-0.09
#acta	0	-0.34
#actualidad	0.24	-3.4
#actualizacion	0	-0.09
#aculeo	0	-0.34
#adamconcert	0	-0.09
#adamlamber	0	-0.17
#adamlambert	0	-0.26
#addicted	0	-0.17
#adelaid	0	-0.09
#adeusdourad	0	-0.09
#adi	0	-0.09
#adiccionalinternet	0	-0.09
#adicionem	0.08	0.06
#admito	0	-0.09
#adn	0	-0.17
#adnradio	-0.04	0.06
#adnradiochil	0	-0.17
#adnradiocl	0	-0.09
#adogo	0	-0.17
#adolescente	0	-0.09
#adoro	0.08	-0.04
#adorobigfone	0	-0.09
#adoromusicabrega	0	-0.09
#adoteumchilenoembc	0	-0.09
#aeae	0	-0.09
#aempezardenuevosehadicho	0	-0.09
#aeroportointernacional	0	-0.09
#aeropuerto	0	-0.09
#aeropuertochile	0	-0.26
#aerthquake	0	-0.09
#affs	0	-0.09
#aftershock	0	-0.09
#agangueo	0	-0.09
#agarapire	0	-0.09
#agnelarock	0	-0.34
#agpenchile	0	-0.09
#aguantechile	0.13	0.24
#aguantehaiti	-0.08	0.06
#aguardelia	0	-0.09
#ahiti	0.08	0.05
#ahora	0	-0.09
#ahoradaestrela	0	-0.26
#ahoradicen	0	-0.17
#ahoradicenque	0	-0.34
#ahoras	0	-0.09
#ahorasuena	0.08	0.03
#ahtri	0	-0.09
#ainda	0	-0.09
#aiquepecado	0	-0.09
#aiquevontadedecomercomidajaponesa	0	-0.09
#aitalolegustaelcopi	0	-0.17
#ajaclaro	0	-0.09
#ajax	0	-0.09
#ajaxload	0	-0.09
#ajedrez	0	-0.09
#ajo	0	-0.09
#albergues	0	-0.09
#albur	0	-0.09
#aleat	0	-0.09
#alecorement	-0.08	0.06
#alegriapawebones	0	-0.09
#alejandro_sanz	0	-0.09
#alejandrosanz	0	-0.26
#alerta	0.24	0.18
#alertachile	0	-0.17
#alertamundo	0	-0.09
#alertas	0	-0.17
#alertatsunami	0	-0.34
#alevantarchile	0.08	0.06
#algarrobo	0	-0.86
#alguemmetiradotwitter	0	-0.09
#alguemquer	0	-0.09
#alguien	0	-0.17
#alhue	0	-0.17
#aliceinwonderland	0.08	0.05
#aliceoj	0	-0.09
#alicialuman	0	-0.09
#alienada	-0.08	0.06
#alienados	0	-0.09
#all	0	-0.09
#allmenn	0	-0.09
#alltogetherforchile	-0.33	0.19
#almirtanteneff	0	-0.95
#almuerzogratis	0	-0.17
#alochoro	0	-0.09
#alocka	0	-0.09
#alokaqueviaja	0	-0.09
#alphalazer	0	-0.09
#alquimista	0	-0.09
#altashoras	0	-0.26
#altoca	0	-0.26
#altotajo	0	-0.09
#alvaricosas	0	-0.26
#alvarouribe	0	-0.09
#alvs	0	-0.09
#am	0	-0.26
#amadorcaceres	0	-0.17
#amaedabritneyusaperuca	0	-0.17
#amarillismo	-0.08	0.06
#amarrado3x	0	-0.6
#ameisin	0	-0.09
#amerelo	0	-0.09
#americ	0	-0.17
#america	0	-0.09
#americalatin	0	-0.09
#americanidol	0.08	0.02
#americo	0	-0.43
#amey	0	-0.09
#amigasparasempre	0	-0.17
#amimecaga	0	-0.09
#amimeparece	0	-0.09
#amisrael	0	-0.09
#amistosodaselecao	0	-0.09
#amitheonlyone	0	-0.26
#amnesia	0	-0.09
#amo	0	-0.34
#amoadeiporque	0.08	0.06
#amodormir	0.08	0.06
#amoqueijo	0	-0.09
#amor	0.32	0.24
#amores	0	-0.09
#amotarantino	0	-0.09
#anadieleimporta	0	-0.09
#anah	0	-0.17
#anahi	0	-0.17
#anahifuerza	-0.33	0.23
#anai	0	-0.09
#analytics	0	-0.17
#anciedade	0	-0.09
#anciosa	0	-0.17
#ancud	0	-1.21
#andinos	0.08	0.06
#andoenchile	-0.08	0.06
#anexo	0	-0.09
#ang	0	-0.09
#angelica	-0.08	0.06
#angol	-0.51	-0.58
#angustia	0	-0.09
#animochile	0.16	0.12
#animoschilenosmexicolosapoya	0	-0.09
#aniversario	0	-0.09
#anos80	0	-0.17
#ansiedad	0	-0.09
#antares	0	-0.17
#antena1	0	-0.26
